# Units: Energy in GeV,  Length in mm,  Time in sec
#   Nr      Name   PID Stat   M1   M2   D1   D2        Px        Py        Pz         E      Mass         X         Y         Z         T
    34       eta   221    2   27    0   39   40  1.624E-1  -1.372E0  -1.555E1   1.562E1  5.474E-1       0E0       0E0       0E0       0E0
    35     gamma    22    1   28    0    0    0  3.512E-1 -5.961E-1  -9.069E0   9.095E0       0E0       0E0       0E0       0E0       0E0
    36     gamma    22    1   28    0    0    0    1.5E-1 -3.956E-1  -4.617E0   4.636E0       0E0       0E0       0E0       0E0       0E0
    37     gamma    22    1   29    0    0    0  8.221E-1   -1.85E0  -1.735E1   1.747E1       0E0       0E0       0E0       0E0       0E0
    38      pi^0   111    2   29    0   41   42  5.398E-1  -3.56E-1  -7.661E0    7.69E0   1.35E-1       0E0       0E0       0E0       0E0
    39     gamma    22    1   34    0    0    0 -9.085E-2 -1.245E-1  -3.589E0   3.592E0       0E0       0E0       0E0       0E0       0E0
    40     gamma    22    1   34    0    0    0  2.532E-1  -1.247E0  -1.196E1   1.203E1       0E0       0E0       0E0       0E0       0E0
    41     gamma    22    1   38    0    0    0  4.766E-1 -2.693E-1  -5.979E0   6.004E0       0E0       0E0       0E0       0E0       0E0
    42     gamma    22    1   38    0    0    0  6.325E-2 -8.665E-2  -1.683E0   1.686E0       0E0       0E0       0E0       0E0       0E0
#END
# Units: Energy in GeV,  Length in mm,  Time in sec
#    Nr      Name   PID Stat   M1   M2   D1   D2        Px        Py        Pz         E      Mass         X         Y         Z         T
     1       e^+   -11    3    0    0    0    0       0E0       0E0    1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     2       e^-    11    3    0    0    0    0       0E0       0E0   -1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     3       e^+   -11    3    1    0    0    0       0E0       0E0    1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     4       e^-    11    3    2    0    0    0       0E0       0E0  -1.692E1   1.692E1       0E0       0E0       0E0       0E0       0E0
     5       e^+   -11    3    3    0    0    0       0E0       0E0    1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     6       e^-    11    3    4    0    0    0       0E0       0E0  -1.692E1   1.692E1       0E0       0E0       0E0       0E0       0E0
     7       Z^0    23    3    5    6    0    0       0E0       0E0   1.081E2   1.419E2   9.199E1       0E0       0E0       0E0       0E0
     8     nu_mu    14    3    7    0    0    0   7.803E0  -1.294E1   1.211E2    1.22E2       0E0       0E0       0E0       0E0       0E0
     9    nu_mu~   -14    3    7    0    0    0  -7.803E0   1.294E1  -1.298E1   1.992E1       0E0       0E0       0E0       0E0       0E0
    10       Z^0    23    2    7    0   13   14       0E0       0E0   1.081E2   1.419E2   9.199E1       0E0       0E0       0E0       0E0
    11     gamma    22    1    1    0    0    0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0
    12     gamma    22    1    2    0    0    0       0E0       0E0  -1.081E2   1.081E2       0E0       0E0       0E0       0E0       0E0
    13     nu_mu    14    1    8    0    0    0   7.803E0  -1.294E1   1.211E2    1.22E2       0E0       0E0       0E0       0E0       0E0
    14    nu_mu~   -14    1    9    0    0    0  -7.803E0   1.294E1  -1.298E1   1.992E1       0E0       0E0       0E0       0E0       0E0
#END
#Units: Energy in GeV,  Length in mm,  Time in sec
#    Nr      Name   PID Stat   M1   M2   D1   D2        Px        Py        Pz         E      Mass         X         Y         Z         T
     1       e^+   -11    3    0    0    0    0       0E0       0E0    1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     2       e^-    11    3    0    0    0    0       0E0       0E0   -1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     3       e^+   -11    3    1    0    0    0       0E0       0E0   2.009E1   2.009E1       0E0       0E0       0E0       0E0       0E0
     4       e^-    11    3    2    0    0    0       0E0       0E0  -1.056E2   1.056E2       0E0       0E0       0E0       0E0       0E0
